Date,Rainfall_mm,River_Level_m,Temperature_C,Humidity_pct
2008-04-13,19.47,11.412,25.49,83.38
2008-04-14,2.02,11.911,30.48,78.99
2008-04-15,1.11,11.501,26.69,79.42
2008-04-16,22.9,8.173,27.58,78.84
2008-04-17,8.7,7.557,28.2,84.0
2008-04-18,14.31,8.224,26.6,77.12
2008-04-19,1.46,7.218,26.65,83.59
2008-04-20,20.35,6.781,26.24,84.37
2008-04-21,4.82,6.846,25.83,86.42
2008-04-22,19.24,7.084,26.96,85.25
2008-04-23,0.82,8.375,26.52,86.32
2008-04-24,3.2,6.747,26.11,84.73
2008-04-25,1.01,6.507,26.14,82.38
2008-04-26,0.94,5.691333333333333,27.13,82.89
2008-04-27,5.1,4.875666666666667,25.72,80.51
2008-04-28,21.88,4.06,26.23,83.6
2008-04-29,12.41,5.308,27.34,78.01
2008-04-30,1.43,4.822,26.65,85.8
2008-05-01,15.44,4.751,25.31,79.56
2008-05-02,9.45,5.753,26.29,82.72
2008-05-03,20.03,6.606,26.71,83.05
2008-05-04,4.52,8.071,27.22,85.39
2008-05-05,14.61,7.935,25.42,76.68
2008-05-06,4.0,7.443,25.57,80.55
2008-05-07,0.71,6.698,25.39,82.98
2008-05-08,3.79,6.622,25.39,86.38
2008-05-09,1.35,5.885,26.39,80.81
2008-05-10,18.09,5.199,26.52,78.93
2008-05-11,9.36,4.963,26.93,86.58
2008-05-12,50.84,5.367,25.73,82.69
2008-05-13,18.17,8.25,24.36,84.17
2008-05-14,37.7,9.434,26.38,76.2
2008-05-15,2.53,12.264,25.81,81.15
2008-05-16,12.25,12.329,25.65,76.1
2008-05-17,8.52,13.151,24.24,75.2
2008-05-18,39.84,12.323,25.27,80.61
2008-05-19,4.8,14.739,24.21,80.57
2008-05-20,5.14,11.189,25.82,76.92
2008-05-21,5.49,10.047,24.85,82.4
2008-05-22,12.8,7.416,24.69,76.73
2008-05-23,6.29,8.269,23.61,76.77
2008-05-24,3.57,7.907,26.1,77.2
2008-05-25,3.8,7.273,24.75,76.3
2008-05-26,0.46,4.516,25.03,80.59
2008-05-27,0.14,4.311,24.13,73.35
2008-05-28,2.87,3.787,23.15,73.93
2008-05-29,7.07,3.622,24.19,72.33
2008-05-30,28.65,3.245,24.28,81.27
2008-05-31,6.17,5.014,24.87,74.35
2008-06-01,0.7,5.089,24.15,72.72
2008-06-02,3.28,4.872,23.71,73.86
2008-06-03,1.67,5.201,22.85,76.97
2008-06-04,0.71,5.327,24.33,76.11
2008-06-05,4.82,5.051,23.41,72.08
2008-06-06,1.34,4.875,25.45,72.3
2008-06-07,2.2,2.722,24.2,68.82
2008-06-08,1.11,2.514,24.53,73.29
2008-06-09,0.52,2.3865,23.64,76.4
2008-06-10,0.61,2.259,24.01,70.49
2008-06-11,1.22,1.997,22.84,73.82
2008-06-12,0.11,2.118,22.47,69.84
2008-06-13,1.81,1.747,23.58,67.98
2008-06-14,2.11,1.948,24.05,72.98
2008-06-15,0.0,1.775,21.46,77.65
2008-06-16,2.31,1.836,22.82,71.9
2008-06-17,1.95,1.797,25.08,68.7
2008-06-18,4.2,1.912,23.63,68.56
2008-06-19,0.21,2.247,24.61,75.0
2008-06-20,3.31,2.364,22.35,69.85
2008-06-21,5.89,2.306,22.44,66.3
2008-06-22,1.8,2.373,23.78,68.07
2008-06-23,1.31,2.617,23.35,68.56
2008-06-24,0.42,2.5205,22.55,68.98
2008-06-25,4.95,2.424,21.3,71.77
2008-06-26,3.69,2.545,23.63,70.72
2008-06-27,1.93,2.5495,24.9,67.14
2008-06-28,4.23,2.554,20.73,66.08
2008-06-29,1.24,2.628,23.62,67.05
2008-06-30,2.24,2.505,21.66,63.69
2008-07-01,1.82,2.546,21.71,68.11
2008-07-02,0.01,2.728,22.23,64.22
2008-07-03,1.47,2.306,20.67,65.96
2008-07-04,0.0,2.282,21.75,69.28
2008-07-05,4.64,2.2,20.09,65.45
2008-07-06,1.83,2.077,22.09,64.14
2008-07-07,0.0,2.101,23.76,61.56
2008-07-08,2.39,1.94,20.8,62.53
2008-07-09,0.0,1.916,21.19,59.02
2008-07-10,0.0,1.898,21.15,63.68
2008-07-11,1.23,1.744,22.17,55.34
2008-07-12,1.32,1.874,21.51,64.31
2008-07-13,2.62,1.905,21.94,63.26
2008-07-14,0.69,1.7355,20.43,61.02
2008-07-15,4.92,1.566,21.28,58.79
2008-07-16,1.12,2.004,17.4,60.01
2008-07-17,1.08,1.993,21.35,54.4
2008-07-18,2.02,2.244,19.38,61.87
2008-07-19,0.75,2.297,20.19,58.57
2008-07-20,2.01,2.262,21.18,63.28
2008-07-21,0.3,2.203,18.82,59.59
2008-07-22,1.36,2.139,21.36,58.78
2008-07-23,2.88,1.746,20.07,58.97
2008-07-24,1.45,2.025,21.56,54.52
2008-07-25,1.91,2.1295,19.13,55.78
2008-07-26,3.51,2.234,18.14,57.21
2008-07-27,2.67,2.25,19.85,55.59
2008-07-28,6.96,2.313,20.38,54.46
2008-07-29,0.37,2.909,20.39,55.03
2008-07-30,2.16,2.929,18.51,55.71
2008-07-31,3.34,2.674,17.94,62.23
2008-08-01,1.31,2.943,19.18,54.0
2008-08-02,3.48,2.743,19.94,52.65
2008-08-03,0.65,2.856,19.81,53.93
2008-08-04,0.01,2.759,20.85,58.6
2008-08-05,3.74,1.977,18.83,58.53
2008-08-06,5.2,2.323,17.29,59.37
2008-08-07,0.0,2.714,20.26,53.43
2008-08-08,1.49,2.413,19.19,54.89
2008-08-09,0.44,2.469,19.21,49.54
2008-08-10,0.98,2.207,19.62,51.36
2008-08-11,5.97,2.115,20.05,48.81
2008-08-12,0.89,2.846,18.7,53.32
2008-08-13,4.01,2.411,19.84,51.75
2008-08-14,0.47,1.997,19.15,52.06
2008-08-15,2.75,2.312,17.88,48.6
2008-08-16,7.08,2.394,18.24,53.44
2008-08-17,3.63,3.052,19.03,43.43
2008-08-18,3.76,3.139,17.64,49.65
2008-08-19,1.1,3.117,19.18,49.86
2008-08-20,0.26,3.08,18.39,43.88
2008-08-21,0.9,2.624,18.56,50.87
2008-08-22,1.42,2.744,19.57,48.98
2008-08-23,5.28,2.574,18.43,50.97
2008-08-24,0.91,2.526,18.09,55.08
2008-08-25,1.36,2.212,17.89,49.84
2008-08-26,0.0,2.106,17.78,51.59
2008-08-27,0.0,1.983,18.18,52.62
2008-08-28,2.37,1.974,19.18,49.76
2008-08-29,0.0,2.312,17.16,45.5
2008-08-30,1.25,1.958,17.04,42.99
2008-08-31,0.74,1.478,18.97,48.86
2008-09-01,3.32,1.759,17.08,46.37
2008-09-02,3.29,1.915,17.82,51.25
2008-09-03,0.47,1.88,16.97,45.81
2008-09-04,5.46,2.045,15.84,47.04
2008-09-05,10.62,2.406,17.68,43.46
2008-09-06,4.31,3.264,18.56,45.76
2008-09-07,1.03,3.456,17.35,43.82
2008-09-08,0.2,3.2965,15.9,43.96
2008-09-09,0.0,3.137,17.46,46.23
2008-09-10,5.33,2.727,16.56,44.44
2008-09-11,2.89,3.561,14.67,54.03
2008-09-12,4.7,3.1275,17.18,48.54
2008-09-13,1.24,2.694,17.75,49.18
2008-09-14,1.35,2.415,18.38,45.49
2008-09-15,0.54,2.547,18.94,46.05
2008-09-16,4.27,2.495,17.81,44.35
2008-09-17,0.95,2.841,18.07,53.43
2008-09-18,2.15,2.212,15.84,45.15
2008-09-19,0.0,2.333,18.72,43.6
2008-09-20,2.77,2.114,18.35,43.08
2008-09-21,2.19,2.228,16.7,46.29
2008-09-22,2.54,2.134,17.74,49.49
2008-09-23,4.87,2.232,17.63,48.44
2008-09-24,0.0,2.45,18.5,42.87
2008-09-25,2.02,2.071,16.87,42.76
2008-09-26,4.02,2.236,16.27,48.81
2008-09-27,5.33,2.849,16.52,51.35
2008-09-28,1.45,3.022,17.9,44.59
2008-09-29,5.45,2.867,15.08,48.63
2008-09-30,9.89,3.082,14.0,40.6
2008-10-01,9.24,3.258,17.89,42.47
2008-10-02,12.81,4.118,17.28,41.98
2008-10-03,0.67,5.026,17.02,46.25
2008-10-04,7.36,4.715,15.7,44.49
2008-10-05,2.67,4.915,15.3,45.77
2008-10-06,21.83,5.177,16.39,48.74
2008-10-07,1.2,6.303,17.39,43.16
2008-10-08,6.84,5.628,16.45,45.44
2008-10-09,7.5,5.544,17.95,41.19
2008-10-10,0.0,4.904,16.11,48.74
2008-10-11,6.58,4.908,16.56,48.6
2008-10-12,0.0,4.856,17.8,46.46
2008-10-13,14.57,4.722,16.73,45.8
2008-10-14,1.65,4.101,16.8,43.99
2008-10-15,8.21,4.14,16.51,41.41
2008-10-16,12.26,4.214,16.34,46.6
2008-10-17,0.0,4.555,17.55,48.05
2008-10-18,29.04,4.723,17.7,51.93
2008-10-19,15.78,6.425,17.47,44.8
2008-10-20,3.52,7.783,16.66,46.9
2008-10-21,19.67,6.726,17.1,49.55
2008-10-22,9.78,8.212,18.93,49.76
2008-10-23,1.59,8.382,15.94,44.58
2008-10-24,2.01,7.538,19.28,45.74
2008-10-25,4.2,7.787,17.53,45.14
2008-10-26,12.41,5.681,17.28,44.15
2008-10-27,3.13,5.529,18.46,51.42
2008-10-28,2.8,5.461,15.47,47.35
2008-10-29,20.19,4.063,18.96,47.1
2008-10-30,4.61,4.811,19.48,48.23
2008-10-31,3.48,5.224,18.75,47.81
2008-11-01,11.38,5.173,15.6,47.16
2008-11-02,2.87,5.838,18.52,45.72
2008-11-03,0.0,5.071,19.44,52.88
2008-11-04,8.96,5.1754999999999995,19.39,46.67
2008-11-05,6.41,5.28,16.48,45.78
2008-11-06,19.7,4.135,18.96,48.53
2008-11-07,10.15,5.262,19.79,55.45
2008-11-08,1.39,6.098,18.07,46.72
2008-11-09,1.19,5.109,16.65,51.52
2008-11-10,2.57,5.011,18.98,48.87
2008-11-11,12.17,5.216,19.26,50.57
2008-11-12,11.38,5.596,18.13,52.83
2008-11-13,7.56,6.077,17.13,45.13
2008-11-14,3.79,4.929,19.36,47.84
2008-11-15,3.65,4.388,17.67,53.49
2008-11-16,0.39,4.472,18.9,51.3
2008-11-17,26.23,4.376,20.12,51.89
2008-11-18,4.41,6.236,16.97,53.65
2008-11-19,2.45,5.713,19.6,49.1
2008-11-20,0.0,4.869,18.55,55.19
2008-11-21,0.06,4.581,18.64,54.75
2008-11-22,1.3,4.218,19.4,53.27
2008-11-23,22.4,3.962,18.19,54.23
2008-11-24,8.02,5.859,17.85,56.6
2008-11-25,11.35,4.184,17.31,51.6
2008-11-26,9.27,4.764,20.4,55.65
2008-11-27,21.58,5.199,18.87,59.18
2008-11-28,1.3,7.196,19.88,56.16
2008-11-29,1.73,7.137,18.9,53.86
2008-11-30,14.56,7.254,18.29,61.78
2008-12-01,9.07,6.725,20.18,55.82
2008-12-02,8.23,6.846,19.93,59.62
2008-12-03,14.01,6.456,19.45,54.46
2008-12-04,2.81,6.877,20.06,59.24
2008-12-05,3.6,5.246,18.88,54.71
2008-12-06,1.96,5.689,20.97,57.63
2008-12-07,0.0,5.523,21.28,55.15
2008-12-08,6.93,4.382,20.83,62.99
2008-12-09,2.66,4.163,19.78,56.94
2008-12-10,1.68,3.878,20.29,54.6
2008-12-11,1.41,2.791,21.88,58.53
2008-12-12,5.58,2.735,21.67,60.19
2008-12-13,6.18,2.853,22.47,58.82
2008-12-14,16.21,3.133,19.78,56.79
2008-12-15,14.42,4.545,19.77,62.67
2008-12-16,6.93,5.086,20.86,63.67
2008-12-17,2.76,5.297,21.21,55.28
2008-12-18,1.28,5.38,20.75,57.93
2008-12-19,0.0,5.484,20.58,60.42
2008-12-20,1.13,5.113,22.33,59.64
2008-12-21,0.52,4.782,21.05,63.15
2008-12-22,2.47,3.185,20.01,67.43
2008-12-23,0.0,2.41,20.21,61.11
2008-12-24,1.74,1.902,21.65,67.33
2008-12-25,2.06,1.801,24.49,58.53
2008-12-26,1.08,1.935,20.59,64.65
2008-12-27,0.27,1.986,21.34,61.84
2008-12-28,1.48,1.753,24.15,65.4
2008-12-29,3.48,1.827,21.34,59.04
2008-12-30,0.55,2.04,22.37,60.8
2008-12-31,2.11,2.152,23.88,66.43
2009-01-01,0.3,2.097,21.13,63.45
2009-01-02,2.05,1.784,21.86,64.72
2009-01-03,2.15,1.914,21.77,71.54
2009-01-04,0.0,2.239,20.83,66.79
2009-01-05,3.87,2.016,24.0,69.42
2009-01-06,5.21,2.094,21.93,64.78
2009-01-07,4.2,2.562,21.72,63.38
2009-01-08,0.81,2.502,22.24,67.5
2009-01-09,0.06,2.622,23.7,63.61
2009-01-10,4.62,2.452,22.97,66.33
2009-01-11,2.34,2.737,22.15,69.48
2009-01-12,4.12,2.966,23.43,68.77
2009-01-13,0.52,2.761,23.92,70.44
2009-01-14,1.17,2.533,23.17,71.57
2009-01-15,0.0,2.378,23.04,66.52
2009-01-16,0.38,2.041,24.38,67.61
2009-01-17,5.68,2.246,23.26,64.23
2009-01-18,1.44,2.215,25.13,69.99
2009-01-19,3.6,2.201,22.85,73.64
2009-01-20,5.98,1.973,22.91,76.22
2009-01-21,4.65,2.799,22.86,72.64
2009-01-22,1.13,2.903,23.61,76.51
2009-01-23,0.0,2.948,23.93,73.86
2009-01-24,1.9,3.031,22.68,73.35
2009-01-25,0.07,2.592,24.18,71.51
2009-01-26,2.44,2.473,24.73,66.5
2009-01-27,2.78,2.645,22.78,77.63
2009-01-28,0.0,2.418,23.8,74.11
2009-01-29,0.69,1.806,24.96,78.74
2009-01-30,1.32,1.889,23.38,72.03
2009-01-31,0.0,1.972,24.23,82.46
2009-02-01,1.55,1.643,25.71,74.72
2009-02-02,2.93,1.81,26.49,73.68
2009-02-03,2.63,2.097,25.2,75.41
2009-02-04,2.39,1.787,24.66,76.85
2009-02-05,0.0,2.349,24.4,76.41
2009-02-06,2.96,2.008,25.88,75.35
2009-02-07,1.06,2.355,26.18,71.76
2009-02-08,0.0,2.251,23.95,75.03
2009-02-09,5.87,2.238,26.09,80.93
2009-02-10,2.52,2.532,24.64,75.33
2009-02-11,2.51,2.523,24.45,73.08
2009-02-12,0.0,2.335,25.22,75.32
2009-02-13,6.59,2.308,26.43,78.48
2009-02-14,1.16,2.676,25.81,76.71
2009-02-15,4.7,2.562,25.84,78.39
2009-02-16,1.36,3.092,25.97,77.08
2009-02-17,2.17,2.625,26.14,82.74
2009-02-18,4.29,2.787,25.62,81.41
2009-02-19,2.1,2.765,26.42,86.82
2009-02-20,4.1,2.815,25.19,79.24
2009-02-21,0.0,2.93,26.55,79.75
2009-02-22,2.38,2.716,26.81,84.37
2009-02-23,0.44,2.515,26.71,82.2
2009-02-24,3.96,2.548,26.81,78.41
2009-02-25,2.08,2.669,26.57,83.1
2009-02-26,0.0,2.329,27.33,82.81
2009-02-27,2.81,2.192,23.93,76.43
2009-02-28,2.33,2.022,27.1,80.04
2009-03-01,1.08,2.1479999999999997,28.27,82.75
2009-03-02,21.87,2.274,25.72,86.69
2009-03-03,42.2,3.97,25.65,84.61
2009-03-04,7.51,7.066,27.71,80.99
2009-03-05,12.38,7.552,25.53,80.72
2009-03-06,2.35,8.492,25.83,85.39
2009-03-07,8.07,8.464,26.71,75.86
2009-03-08,3.23,8.629,25.77,80.86
2009-03-09,3.49,8.978,27.48,87.65
2009-03-10,2.18,7.635,25.85,84.44
2009-03-11,2.99,4.22,27.03,81.4
2009-03-12,5.94,3.984,26.98,80.19
2009-03-13,5.84,3.512,28.39,86.43
2009-03-14,10.1,3.783,27.92,84.25
2009-03-15,44.17,3.938,26.25,83.47
2009-03-16,71.43,7.237,25.54,85.34
2009-03-17,9.57,12.63,27.67,84.81
2009-03-18,5.02,13.057,26.2,84.66
2009-03-19,8.79,13.416,26.53,80.51
2009-03-20,48.23,13.622,25.83,81.48
2009-03-21,0.37,16.84,27.59,86.87
2009-03-22,7.34,16.344,26.28,86.37
2009-03-23,10.63,13.313,26.9,85.89
2009-03-24,16.52,8.258,26.93,83.04
2009-03-25,0.7,8.87,27.14,87.14
2009-03-26,3.21,8.55,27.63,83.77
2009-03-27,31.44,8.104,26.74,88.82
2009-03-28,16.28,6.846,26.25,82.71
2009-03-29,5.22,7.992,25.13,83.39
2009-03-30,6.67,8.033,27.1,84.53
2009-03-31,2.54,7.708,26.84,87.54
2009-04-01,0.0,6.547,26.29,84.89
2009-04-02,0.0,6.433,27.06,85.11
2009-04-03,10.35,6.266,27.85,83.82
2009-04-04,11.0,4.457,28.11,85.78
2009-04-05,78.75,3.99,25.45,84.75
2009-04-06,1.95,10.064,26.62,82.58
2009-04-07,4.47,9.599,27.94,85.28
2009-04-08,10.98,9.653,28.56,85.32
2009-04-09,15.8,10.558,26.14,91.87
2009-04-10,3.29,11.79,28.32,82.94
2009-04-11,3.71,11.501,25.58,82.2
2009-04-12,6.6,10.716,28.06,85.5
2009-04-13,6.34,4.96,26.62,81.61
2009-04-14,5.49,5.367,28.44,81.3
2009-04-15,17.64,5.255,26.4,80.13
2009-04-16,14.33,6.019,26.53,82.04
2009-04-17,0.12,5.731,26.68,82.02
2009-04-18,0.39,5.721,25.26,80.32
2009-04-19,12.46,5.242,25.01,83.32
2009-04-20,26.31,5.845,27.25,76.87
2009-04-21,1.92,7.09,27.7,85.33
2009-04-22,3.21,6.936,27.29,82.07
2009-04-23,13.0,5.87,25.4,82.39
2009-04-24,33.75,5.59,27.1,85.25
2009-04-25,8.84,8.543,25.6,84.47
2009-04-26,1.75,8.373,26.96,81.32
2009-04-27,8.0,8.203,27.65,84.42
2009-04-28,12.95,6.836,26.85,87.56
2009-04-29,7.51,7.801,27.91,79.72
2009-04-30,0.1,7.854,26.25,84.86
2009-05-01,13.86,6.905,26.14,79.09
2009-05-02,8.88,5.407,26.38,85.79
2009-05-03,29.68,5.446,24.93,79.95
2009-05-04,7.24,7.673,25.82,79.65
2009-05-05,13.52,7.692,25.86,85.17
2009-05-06,2.81,7.711,25.85,83.69
2009-05-07,36.73,7.357,26.35,79.29
2009-05-08,16.84,10.079,24.55,81.51
2009-05-09,1.0,10.47,24.84,78.79
2009-05-10,2.06,9.116,27.06,75.93
2009-05-11,25.44,7.762,23.87,81.07
2009-05-12,12.19,9.089,26.44,79.21
2009-05-13,3.88,8.899,25.39,77.22
2009-05-14,17.9,9.136,25.87,83.74
2009-05-15,11.33,7.601,27.21,76.86
2009-05-16,0.1,7.022,25.46,79.79
2009-05-17,16.08,6.997,26.15,82.35
2009-05-18,31.05,8.12,25.52,78.1
2009-05-19,15.48,8.725,25.29,76.41
2009-05-20,19.51,8.886,25.11,79.25
2009-05-21,7.61,10.189,25.98,79.47
2009-05-22,3.76,9.243,24.48,80.47
2009-05-23,0.56,8.721,24.01,83.19
2009-05-24,4.89,8.854,25.15,75.93
2009-05-25,16.19,7.793,25.2,77.62
2009-05-26,3.58,6.652,23.11,72.95
2009-05-27,8.28,5.552,24.86,78.47
2009-05-28,22.21,4.713,23.57,76.74
2009-05-29,1.93,5.924,25.35,75.37
2009-05-30,5.76,5.705,22.85,73.76
2009-05-31,4.48,6.359,26.51,74.28
2009-06-01,3.08,6.111,24.17,75.73
2009-06-02,1.97,5.224,23.57,71.83
2009-06-03,5.8,5.035,24.07,73.5
2009-06-04,2.91,4.821,24.84,74.17
2009-06-05,9.52,3.423,25.09,69.19
2009-06-06,0.0,3.656,23.85,70.35
2009-06-07,1.58,3.401,22.61,71.21
2009-06-08,3.24,3.081,22.76,77.58
2009-06-09,3.59,3.005,24.17,70.06
2009-06-10,3.88,3.212,24.8,72.07
2009-06-11,2.66,3.179,24.85,68.79
2009-06-12,6.83,3.085,23.82,69.26
2009-06-13,0.8,3.032,24.53,66.94
2009-06-14,5.84,2.985,25.4,72.95
2009-06-15,0.77,3.315,24.59,66.63
2009-06-16,0.22,3.118,24.24,72.99
2009-06-17,5.85,2.87,22.43,71.34
2009-06-18,3.71,2.996,24.11,69.38
2009-06-19,0.42,3.036,23.53,72.09
2009-06-20,0.87,2.708,23.63,78.24
2009-06-21,0.0,2.552,24.16,70.03
2009-06-22,2.45,2.109,23.17,64.9
2009-06-23,2.28,2.2935,22.63,72.38
2009-06-24,4.34,2.478,21.57,68.13
2009-06-25,0.0,2.236,22.26,73.57
2009-06-26,1.83,2.104,22.69,65.37
2009-06-27,2.5,2.195,22.66,70.39
2009-06-28,2.21,2.29,22.54,66.2
2009-06-29,4.08,2.406,23.17,73.83
2009-06-30,8.51,2.539,22.99,64.67
2009-07-01,1.79,3.057,21.98,74.18
2009-07-02,2.31,2.75,21.11,66.15
2009-07-03,1.46,3.054,22.25,67.02
2009-07-04,7.37,3.118,24.03,69.24
2009-07-05,0.22,3.1695,22.02,61.43
2009-07-06,0.7,3.221,21.32,66.36
2009-07-07,1.14,3.095,22.06,62.23
2009-07-08,2.9,2.59,22.04,63.22
2009-07-09,7.04,2.456,21.94,62.67
2009-07-10,1.81,2.936,22.64,63.8
2009-07-11,9.37,2.668,21.57,63.33
2009-07-12,5.9,2.929,22.43,59.68
2009-07-13,2.19,3.518,21.25,61.44
2009-07-14,2.57,3.527,22.44,53.73
2009-07-15,2.62,3.946,22.06,63.36
2009-07-16,4.15,3.78,21.69,65.14
2009-07-17,0.0,3.5605,21.47,60.3
2009-07-18,0.17,3.341,22.9,54.58
2009-07-19,3.39,2.508,21.59,61.29
2009-07-20,1.08,2.355,19.59,56.45
2009-07-21,4.15,2.344,20.6,58.96
2009-07-22,0.04,2.381,20.01,60.14
2009-07-23,3.29,2.306,22.26,59.41
2009-07-24,1.64,2.241,21.36,60.69
2009-07-25,1.61,2.301,22.06,57.57
2009-07-26,2.62,2.233,19.19,57.33
2009-07-27,3.08,2.526,20.98,58.71
2009-07-28,0.0,2.493,18.43,55.98
2009-07-29,0.0,2.453,18.13,53.82
2009-07-30,4.52,2.244,19.25,56.93
2009-07-31,1.61,2.257,21.08,51.89
2009-08-01,0.36,2.32,18.5,54.73
2009-08-02,1.18,1.973,19.4,50.55
2009-08-03,1.17,2.163,20.54,52.72
2009-08-04,2.32,2.164,20.12,52.56
2009-08-05,0.72,1.884,21.42,50.86
2009-08-06,2.02,2.122,19.13,56.83
2009-08-07,5.54,1.94,18.62,56.3
2009-08-08,3.56,2.352,17.9,56.91
2009-08-09,2.26,2.731,18.56,52.13
2009-08-10,2.79,2.645,17.75,51.12
2009-08-11,0.0,2.951,16.99,54.57
2009-08-12,1.31,2.568,20.69,52.28
2009-08-13,1.69,2.644,18.71,52.01
2009-08-14,4.23,2.605,21.19,43.75
2009-08-15,1.3,2.589,17.69,53.4
2009-08-16,3.29,2.244,18.04,52.76
2009-08-17,4.34,2.451,17.64,50.63
2009-08-18,0.9,2.37,17.71,52.86
2009-08-19,0.53,2.536,19.17,51.98
2009-08-20,1.57,2.439,18.8,47.86
2009-08-21,3.5,2.502,19.06,49.06
2009-08-22,0.13,2.403,19.47,46.48
2009-08-23,0.0,2.454,19.18,53.67
2009-08-24,0.0,1.99,17.01,52.01
2009-08-25,2.06,1.557,17.44,46.43
2009-08-26,1.55,1.687,18.04,50.53
